student_id,Original_ID,Gender,Grade,Question,Answer,Type,TotalScore
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,빈번한 거짓말,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,또래 갈등,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,반항 행동,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,괴롭힘 가해,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,외상 침습증상,0,심리외상 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,외상 관련 악몽,0,심리외상 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,외상 후 고립,0,심리외상 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,외상 후 과각성,0,심리외상 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,외상 회피행동,0,심리외상 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,흡연 문제,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,음주 문제,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,적응력 저하,0,학교생활적응 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,분리 불안,0,학교생활적응 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,학습 어려움,0,학교생활적응 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,재산 관련 비행,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,게임 과몰입,0,외현화 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,관계 형성 곤란,0,학교생활적응 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,등교 거부,0,학교생활적응 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,괴롭힘 피해,0,심리외상 문제,3
학생07 ,-ObjRFKHkNGt40d0TBYd,boy,2학년,따돌림 피해,0,심리외상 문제,3
